ALCT;ident;noi;wpela16;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
;14001981;02;127.61640838;1;3353;11;411111111111;2014;2015;38;1;0;1;;1;0
;14001984;02;296.64000486;1;4484.2;2;444444444411;2014;2015;61;1;0;10;;1;0
;14001987;02;436.7714519;0;322.88888889;3;444444444111;2014;2015;22;1;0;9;;0;1
1;14001995;01;237.95053502;0;1620;8;444411111111;2014;2015;57;1;1;4;0;0;0
;14002014;01;451.52272395;1;155.5;3.0376068376;444444444444;2014;2015;60;3;0;12;;0;0
;14002022;01;638.01951203;0;169.41666667;0;444444444444;2014;2015;35;2;0;12;;0;0
;14002032;01;418.25144028;0;1537.8888889;3;441114444444;2014;2015;45;1;0;9;;1;0
;14002035;02;598.33174837;1;2308.6666667;5.1230769231;222643333344;2014;2015;35;2;0;3;;0;0
;14002038;02;198.61683598;1;1403.8571429;5;444444411111;2014;2015;55;1;0;7;;0;0
;14002045;01;995.276627;0;1368;10;114411111111;2014;2015;22;1;0;2;;1;1
;14002046;01;165.12904868;1;1485;11;114111111111;2014;2015;35;1;0;1;;1;0
1;14002051;01;69.83205856;0;1114.5;3.2444444444;444411111111;2014;2015;49;1;1;4;0;0;0
1;14002069;01;459.36525758;1;856.08333333;0;444444444444;2014;2015;53;3;0;12;0;0;0
;14002072;02;360.55504683;1;971;11;411111111111;2014;2015;42;2;0;1;;0;0
;14002078;01;661.07757894;0;997.33333333;5.7521367521;444444111111;2014;2015;36;1;0;6;;1;0
;14002078;02;661.07757894;0;768.75;3.4282051282;444444444444;2014;2015;33;1;0;12;;0;0
;14002090;01;850.29027667;0;711.42857143;5;444444411111;2014;2015;28;1;1;7;;1;1
;14002108;02;252.41622898;1;11019;10;111111111144;2014;2015;32;3;0;2;;1;0
;14002122;01;497.16387523;1;358.5;0.5666666667;444444441144;2014;2015;52;2;1;10;;0;0
;14002144;01;600.51142438;0;1108.5;10;111114411111;2014;2015;21;1;0;2;;0;1
1;14002156;01;444.98374033;0;1257.8;0.9846153846;144444333333;2014;2015;29;2;0;5;0;0;1
1;14002156;02;444.98374033;0;1067.875;3.758974359;444411114444;2014;2015;28;3;0;8;0;1;1
;14002157;01;754.06898838;0;1181.5833333;0.7111111111;444444444444;2014;2015;54;3;0;12;;0;0
;14002167;01;297.73797205;0;716.42857143;1.4957264957;444444411111;2014;2015;45;1;0;7;;0;0
1;14002171;02;507.40032968;1;3128.75;3.1320879121;411111144411;2014;2015;57;1;0;4;0;0;0
;14002175;01;785.20347879;0;6974;10;111441111111;2014;2015;56;1;0;2;;0;0
1;14002203;02;298.2597692;1;1482;10;441111111111;2014;2015;42;1;1;2;0;0;0
;14002210;01;810.65237543;1;1430.3333333;0;444444444444;2014;2015;33;2;1;12;;1;0
;14002214;01;823.47596768;0;2585.5;9.7564102564;441111111111;2014;2015;32;1;1;2;;1;0
;14002219;01;357.42706676;1;1501;10;111111111144;2014;2015;37;1;0;2;;0;0
;14002223;01;624.04276572;0;186.2;7;111111144444;2014;2015;36;1;0;5;;1;0
;14002231;01;648.36966584;0;1284;1.7743589744;141414441411;2014;2015;38;1;0;6;;0;0
;14002249;01;605.91090781;0;541.75;4.0666666667;444411111111;2014;2015;53;1;0;4;;1;0
1;14002256;02;505.37594164;0;3719;5.005982906;411111111144;2014;2015;30;8;0;3;0;1;0
;14002264;01;225.1531456;1;883;11;411111111111;2014;2015;58;1;0;1;;1;0
;14002277;01;524.15842859;0;33;3;419997711222;2014;2015;42;1;0;1;;0;0
;14002280;01;641.42844825;0;528.33333333;8.5871794872;114441111111;2014;2015;23;1;0;3;;0;1
;14002285;01;2195.1427114;1;2039.8;2;444444444411;2014;2015;30;1;0;10;;0;0
;14002302;02;483.09911394;1;496.66666667;9;444111111111;2014;2015;52;1;0;3;;0;0
;14002304;01;321.31407935;1;178;11;411111111111;2014;2015;48;1;0;1;;1;0
;14002307;01;786.36387542;0;513.25;0.4495726496;444484334441;2014;2015;23;4;0;8;;0;1
;14002310;01;512.23003141;0;4346.1428571;0.2777777778;224444444111;2014;2015;58;1;0;7;;1;0
;14002320;02;647.09755511;1;834.4;7;114411111444;2014;2015;28;1;0;5;;0;1
2;14002322;01;925.10872689;0;359.25;0;444444444444;2014;2015;49;6;0;12;1;0;0
