ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
13004562;01;240.02549769;1;507.85909091;0;944444444444;2013;2015;48;6;0;11;;1;0
13004570;01;657.34452563;0;608.045;2;114444444444;2013;2015;44;2;0;10;;0;0
13004591;02;195.79944228;1;332.63888889;5.6571656751;114144111444;2013;2015;56;3;1;6;;1;0
13004593;01;557.6278594;0;506.70416667;0;444444444444;2013;2015;60;0;1;12;;1;0
13004662;01;446.59632386;1;532.1125;0;444488888888;2013;2015;46;11;0;4;;1;0
13004682;01;1190.9138286;0;1602;5;111114444444;2013;2015;36;0;0;7;;0;0
13004686;02;366.07757103;1;1205;7.9470733521;111111144441;2013;2015;36;1;1;4;;1;0
13004710;01;913.05392489;0;489.22222222;1.8317539033;944444114444;2013;2015;35;2;1;9;;0;0
13004732;01;446.78020515;1;997.91666667;0;444444444444;2013;2015;44;2;0;12;0;1;0
13004769;02;832.06148877;1;506.70416667;0;444444444444;2013;2015;36;5;0;12;;0;0
13004796;01;414.60028877;1;410.445;1.6336799034;444444444411;2013;2015;36;6;0;10;;1;0
13004801;01;1115.6156712;0;966;6;441111114444;2013;2015;37;4;0;6;;1;0
13004802;01;386.47349089;1;494;0;888999444444;2013;2015;52;3;0;6;;1;0
13004808;01;402.66165979;0;1273.6666667;8.9701686211;441111111114;2013;2015;39;0;0;3;;1;0
13004821;02;523.36776228;1;515.77857143;0;444444488888;2013;2015;63;5;1;7;;0;0
13004863;02;339.72093606;1;900.4;7;111114441441;2013;2015;42;1;0;5;;1;0
13004868;02;998.01125088;1;506.70416667;0;444444444444;2013;2015;35;4;0;12;;1;0
13004976;01;675.96625588;1;506.70416667;0;444444444444;2013;2015;51;0;1;12;;0;0
13005086;01;580.4300976;0;494;3;111444444444;2013;2015;55;3;0;9;;1;0
13005086;02;580.4300976;0;494;2.1694639218;111444444444;2013;2015;56;3;0;9;;0;0
13005121;01;659.24218029;1;2449.5;0.0266969304;333111444444;2013;2015;39;2;0;6;0;1;0
13005159;03;981.96161062;0;479.57142857;3.4482099807;444444411111;2013;2015;26;1;1;7;0;1;1
13005183;01;697.87729139;0;1371;2;224444444911;2013;2015;48;1;0;7;;0;0
13005208;02;727.19708166;1;462.95;1;444444444441;2013;2015;42;0;0;11;;1;0
13005282;09;477.51857112;0;387.93888889;2.7980105463;441114444444;2013;2015;51;2;0;9;1;1;0
13005282;10;477.51857112;0;506.70416667;0;444444444444;2013;2015;46;2;1;12;1;0;0
13005340;01;573.82850296;1;384.22222222;1;144444444499;2013;2015;48;4;1;9;1;1;0
13005344;01;590.53325784;0;455.20416667;0.5218819301;444444444444;2013;2015;47;7;1;12;;0;0
13005350;02;262.83059418;1;983.5;1.0902681907;444444444444;2013;2015;52;2;1;12;0;1;0
13005355;01;470.38914879;0;398.7;2;441144444444;2013;2015;58;1;0;10;0;1;0
13005367;01;599.16846753;0;787.14285714;5;444444411111;2013;2015;54;1;0;7;;1;0
13005439;01;635.08182364;0;834.14285714;5;414441111444;2013;2015;44;0;0;7;0;0;0
13005446;01;706.8468467;0;507.85909091;0;444444444448;2013;2015;36;4;0;11;;1;0
13005455;01;689.06442233;0;224.45416667;2.8359029636;444444444444;2013;2015;36;4;1;12;;0;0
13005473;01;759.45721258;0;506.70416667;0;444444444444;2013;2015;55;0;0;12;;1;0
13005481;01;853.81137984;0;446.33333333;5.6815004808;111114444414;2013;2015;43;3;1;6;;0;0
13005491;01;533.88990473;1;996.85714286;5;114141144444;2013;2015;34;0;0;7;;1;0
13005506;01;480.59213281;0;497.37083333;0.0938698521;444444444444;2013;2015;43;2;1;12;;0;0
13005512;02;487.97337741;1;1237.6666667;3;222222441114;2013;2015;43;0;0;3;;0;0
13005537;01;615.39765359;0;450.67727273;0.1136772521;444444444441;2013;2015;39;2;0;11;;0;0
13005567;01;600.88708537;0;506.70416667;0;444444444444;2013;2015;45;2;0;12;;1;0
13005625;01;555.01678687;0;366.53148148;3;444441114444;2013;2015;59;3;0;9;;1;0
13005642;01;918.16473801;0;1607.8181818;0.6114458257;144444444444;2013;2015;33;3;0;11;0;0;0
13005642;02;918.16473801;0;718.33333333;6;111444444111;2013;2015;36;1;0;6;0;1;0
13005744;01;454.17658862;1;1530;7.9569155384;111111111144;2013;2015;37;4;1;2;0;0;0
13005749;01;666.00916129;0;1029.1111111;3;444444444111;2013;2015;47;1;0;9;;0;0
13005773;02;1271.3392789;0;1397.6666667;9;111111111444;2013;2015;28;0;0;3;;1;1
13005791;01;519.21416716;0;2840.5;9.7710765337;111111111144;2013;2015;39;0;0;2;;0;0
13005823;05;581.50357215;0;3017;11;111111111114;2013;2015;21;0;0;1;;1;1
13005831;01;479.81782842;1;2000.3333333;9;411111111144;2013;2015;30;0;1;3;;1;0
13005870;01;828.98839737;0;991.83333333;0;444444444444;2013;2015;53;2;0;12;;0;0
13005873;01;525.31028626;0;506.70416667;0;444444444444;2013;2015;60;8;1;12;;1;0
13005893;01;1452.3572934;0;1943.25;3;444411122222;2013;2015;46;1;0;4;;0;0
13005894;01;681.69630739;0;494;0;222222224444;2013;2015;60;4;0;4;;1;0
13005920;01;297.31896082;1;494;0;999999444444;2013;2015;57;5;1;6;;1;0
13005984;02;729.54532361;1;510.93888889;0;444444444999;2013;2015;40;3;1;9;;1;0
13006024;01;319.24242136;0;513.05625;0;744444444777;2013;2015;40;2;0;8;;0;0
13006059;02;1505.5298601;1;1034.8333333;0;444444444444;2013;2015;44;2;1;12;;0;0
13006062;01;685.07363265;0;1099.6666667;4.1460209915;111111111444;2013;2015;39;0;0;3;;0;0
13006117;01;457.56452679;0;635.22222222;3;414444144441;2013;2015;34;2;0;9;;1;0
13006212;01;812.07130634;0;784;1;144444333333;2013;2015;25;1;0;5;;1;1
13006212;02;812.07130634;0;980.9;0.1464025217;114444444444;2013;2015;24;2;0;10;;0;1
13006226;01;906.5160252;0;404.18181818;1;144444444444;2013;2015;31;3;0;11;;0;0
13006242;01;637.31357793;0;938;3;141177777744;2013;2015;35;2;0;3;0;1;0
13006274;01;717.04210809;0;1008.0833333;1.7525243034;444444444444;2013;2015;48;2;1;12;;1;0
13006290;04;516.12246544;0;450.87083333;0.564080304;444444444444;2013;2015;39;2;0;12;;1;0
13006294;02;223.6284238;1;994.66666667;1.8877313381;444444444444;2013;2015;46;2;0;12;0;1;0
13006316;01;521.40334619;0;448.045;1.3374300949;144144444444;2013;2015;49;1;0;10;1;1;0
13006332;02;476.64660497;0;506.70416667;0;444444444444;2013;2015;47;3;1;12;;0;0
13006359;01;537.40102805;0;941.83333333;0;444444444444;2013;2015;46;2;0;12;;0;0
13006415;01;762.27835507;1;365;1.2022230602;444444411111;2013;2015;38;1;0;7;0;1;0
13006419;01;545.69560398;0;509.245;0;994444444444;2013;2015;49;11;1;10;;1;0
13006448;01;1197.9185875;0;358.87083333;1.5079459731;444444444444;2013;2015;48;4;0;12;;0;0
13006456;02;482.35914894;1;3478.8333333;6;144444411111;2013;2015;43;0;0;6;;0;0
13006485;01;426.8039297;0;2033.8888889;3;111444444444;2013;2015;33;2;0;9;;1;0
13006497;01;398.73448017;1;960.16666667;0;444444444444;2013;2015;57;3;0;12;;0;0
13006505;01;1674.5253039;0;598.5;8;111111444141;2013;2015;34;1;0;4;;1;0
13006511;01;2381.3800844;0;506.70416667;0;444444444444;2013;2015;53;4;0;12;;1;0
13006648;01;838.60365777;0;272.40833333;3;449994444111;2013;2015;41;3;0;6;;0;0
13006660;02;453.66781399;1;346.27222222;1.6052605904;444444444111;2013;2015;43;0;1;9;;1;0
13006666;01;511.58146201;1;4660.5454545;1;444444444441;2013;2015;63;5;0;11;0;1;0
13006698;01;610.37174189;0;423.49545455;1;144444444444;2013;2015;48;2;0;11;;0;0
13006742;01;527.91271731;0;804;10;111111111144;2013;2015;43;0;1;2;;1;0
13006783;01;530.25649402;1;866;4;111144999944;2013;2015;25;2;0;4;;0;1
